Rainfall - (MM), Year, Statistics, Country, ISO3
69.1, 1940, Dec Average, South Africa, ZAF
79.5, 1941, Jan Average, South Africa, ZAF
72.2, 1941, Feb Average, South Africa, ZAF
34.0, 1941, Mar Average, South Africa, ZAF
55.6, 1941, Apr Average, South Africa, ZAF
12.6, 1941, May Average, South Africa, ZAF
14.2, 1941, Jun Average, South Africa, ZAF
10.6, 1941, Jul Average, South Africa, ZAF
13.6, 1941, Aug Average, South Africa, ZAF
18.8, 1941, Sep Average, South Africa, ZAF
42.5, 1941, Oct Average, South Africa, ZAF
20.4, 1941, Nov Average, South Africa, ZAF
47.5, 1941, Dec Average, South Africa, ZAF
73.6, 1942, Jan Average, South Africa, ZAF
54.0, 1942, Feb Average, South Africa, ZAF
83.0, 1942, Mar Average, South Africa, ZAF
30.3, 1942, Apr Average, South Africa, ZAF
27.3, 1942, May Average, South Africa, ZAF
19.2, 1942, Jun Average, South Africa, ZAF
4.3, 1942, Jul Average, South Africa, ZAF
21.8, 1942, Aug Average, South Africa, ZAF
22.4, 1942, Sep Average, South Africa, ZAF
63.4, 1942, Oct Average, South Africa, ZAF
59.9, 1942, Nov Average, South Africa, ZAF
88.6, 1942, Dec Average, South Africa, ZAF
55.9, 1943, Jan Average, South Africa, ZAF
43.2, 1943, Feb Average, South Africa, ZAF
63.9, 1943, Mar Average, South Africa, ZAF
79.7, 1943, Apr Average, South Africa, ZAF
29.1, 1943, May Average, South Africa, ZAF
10.2, 1943, Jun Average, South Africa, ZAF
18.5, 1943, Jul Average, South Africa, ZAF
40.0, 1943, Aug Average, South Africa, ZAF
22.5, 1943, Sep Average, South Africa, ZAF
48.8, 1943, Oct Average, South Africa, ZAF
101.3, 1943, Nov Average, South Africa, ZAF
73.6, 1943, Dec Average, South Africa, ZAF
62.2, 1944, Jan Average, South Africa, ZAF
92.7, 1944, Feb Average, South Africa, ZAF
54.6, 1944, Mar Average, South Africa, ZAF
11.9, 1944, Apr Average, South Africa, ZAF
23.0, 1944, May Average, South Africa, ZAF
29.5, 1944, Jun Average, South Africa, ZAF
7.8, 1944, Jul Average, South Africa, ZAF
10.1, 1944, Aug Average, South Africa, ZAF
42.3, 1944, Sep Average, South Africa, ZAF
47.5, 1944, Oct Average, South Africa, ZAF
36.8, 1944, Nov Average, South Africa, ZAF
20.9, 1944, Dec Average, South Africa, ZAF
55.2, 1945, Jan Average, South Africa, ZAF
49.1, 1945, Feb Average, South Africa, ZAF
90.9, 1945, Mar Average, South Africa, ZAF
19.1, 1945, Apr Average, South Africa, ZAF
21.2, 1945, May Average, South Africa, ZAF
12.3, 1945, Jun Average, South Africa, ZAF
13.5, 1945, Jul Average, South Africa, ZAF
7.6, 1945, Aug Average, South Africa, ZAF
3.7, 1945, Sep Average, South Africa, ZAF
27.5, 1945, Oct Average, South Africa, ZAF
26.7, 1945, Nov Average, South Africa, ZAF
32.7, 1945, Dec Average, South Africa, ZAF
91.8, 1946, Jan Average, South Africa, ZAF
71.3, 1946, Feb Average, South Africa, ZAF
67.9, 1946, Mar Average, South Africa, ZAF
34.0, 1946, Apr Average, South Africa, ZAF
24.3, 1946, May Average, South Africa, ZAF
6.4, 1946, Jun Average, South Africa, ZAF
6.4, 1946, Jul Average, South Africa, ZAF
5.2, 1946, Aug Average, South Africa, ZAF
14.7, 1946, Sep Average, South Africa, ZAF
40.4, 1946, Oct Average, South Africa, ZAF
43.6, 1946, Nov Average, South Africa, ZAF
43.9, 1946, Dec Average, South Africa, ZAF
49.8, 1947, Jan Average, South Africa, ZAF
52.7, 1947, Feb Average, South Africa, ZAF
68.3, 1947, Mar Average, South Africa, ZAF
35.2, 1947, Apr Average, South Africa, ZAF
16.4, 1947, May Average, South Africa, ZAF
13.6, 1947, Jun Average, South Africa, ZAF
16.9, 1947, Jul Average, South Africa, ZAF
5.5, 1947, Aug Average, South Africa, ZAF
28.2, 1947, Sep Average, South Africa, ZAF
33.4, 1947, Oct Average, South Africa, ZAF
56.9, 1947, Nov Average, South Africa, ZAF
84.6, 1947, Dec Average, South Africa, ZAF
64.2, 1948, Jan Average, South Africa, ZAF
63.0, 1948, Feb Average, South Africa, ZAF
108.2, 1948, Mar Average, South Africa, ZAF
53.2, 1948, Apr Average, South Africa, ZAF
11.5, 1948, May Average, South Africa, ZAF
4.2, 1948, Jun Average, South Africa, ZAF
10.5, 1948, Jul Average, South Africa, ZAF
3.7, 1948, Aug Average, South Africa, ZAF
14.7, 1948, Sep Average, South Africa, ZAF
45.0, 1948, Oct Average, South Africa, ZAF
45.6, 1948, Nov Average, South Africa, ZAF
29.5, 1948, Dec Average, South Africa, ZAF
67.1, 1949, Jan Average, South Africa, ZAF
45.4, 1949, Feb Average, South Africa, ZAF
47.2, 1949, Mar Average, South Africa, ZAF
27.1, 1949, Apr Average, South Africa, ZAF
17.2, 1949, May Average, South Africa, ZAF
10.0, 1949, Jun Average, South Africa, ZAF
6.8, 1949, Jul Average, South Africa, ZAF
9.5, 1949, Aug Average, South Africa, ZAF
16.4, 1949, Sep Average, South Africa, ZAF
29.6, 1949, Oct Average, South Africa, ZAF
68.6, 1949, Nov Average, South Africa, ZAF
73.7, 1949, Dec Average, South Africa, ZAF
46.5, 1950, Jan Average, South Africa, ZAF
59.6, 1950, Feb Average, South Africa, ZAF
78.0, 1950, Mar Average, South Africa, ZAF
61.7, 1950, Apr Average, South Africa, ZAF
39.4, 1950, May Average, South Africa, ZAF
6.4, 1950, Jun Average, South Africa, ZAF
17.8, 1950, Jul Average, South Africa, ZAF
23.7, 1950, Aug Average, South Africa, ZAF
23.1, 1950, Sep Average, South Africa, ZAF
30.0, 1950, Oct Average, South Africa, ZAF
43.9, 1950, Nov Average, South Africa, ZAF
95.6, 1950, Dec Average, South Africa, ZAF
56.7, 1951, Jan Average, South Africa, ZAF
40.9, 1951, Feb Average, South Africa, ZAF
50.4, 1951, Mar Average, South Africa, ZAF
36.9, 1951, Apr Average, South Africa, ZAF
22.9, 1951, May Average, South Africa, ZAF
14.9, 1951, Jun Average, South Africa, ZAF
12.7, 1951, Jul Average, South Africa, ZAF
19.0, 1951, Aug Average, South Africa, ZAF
24.8, 1951, Sep Average, South Africa, ZAF
55.1, 1951, Oct Average, South Africa, ZAF
16.2, 1951, Nov Average, South Africa, ZAF
38.4, 1951, Dec Average, South Africa, ZAF
47.4, 1952, Jan Average, South Africa, ZAF
77.6, 1952, Feb Average, South Africa, ZAF
35.9, 1952, Mar Average, South Africa, ZAF
23.4, 1952, Apr Average, South Africa, ZAF
14.9, 1952, May Average, South Africa, ZAF
12.3, 1952, Jun Average, South Africa, ZAF
27.4, 1952, Jul Average, South Africa, ZAF
14.8, 1952, Aug Average, South Africa, ZAF
25.5, 1952, Sep Average, South Africa, ZAF
26.7, 1952, Oct Average, South Africa, ZAF
62.1, 1952, Nov Average, South Africa, ZAF
67.7, 1952, Dec Average, South Africa, ZAF
49.9, 1953, Jan Average, South Africa, ZAF
91.1, 1953, Feb Average, South Africa, ZAF
45.1, 1953, Mar Average, South Africa, ZAF
54.3, 1953, Apr Average, South Africa, ZAF
12.0, 1953, May Average, South Africa, ZAF
8.4, 1953, Jun Average, South Africa, ZAF
12.1, 1953, Jul Average, South Africa, ZAF
17.8, 1953, Aug Average, South Africa, ZAF
19.2, 1953, Sep Average, South Africa, ZAF
45.1, 1953, Oct Average, South Africa, ZAF
76.8, 1953, Nov Average, South Africa, ZAF
68.2, 1953, Dec Average, South Africa, ZAF
56.8, 1954, Jan Average, South Africa, ZAF
57.8, 1954, Feb Average, South Africa, ZAF
86.1, 1954, Mar Average, South Africa, ZAF
35.5, 1954, Apr Average, South Africa, ZAF
36.0, 1954, May Average, South Africa, ZAF
9.5, 1954, Jun Average, South Africa, ZAF
14.1, 1954, Jul Average, South Africa, ZAF
14.5, 1954, Aug Average, South Africa, ZAF
21.5, 1954, Sep Average, South Africa, ZAF
27.0, 1954, Oct Average, South Africa, ZAF
59.2, 1954, Nov Average, South Africa, ZAF
49.3, 1954, Dec Average, South Africa, ZAF
108.0, 1955, Jan Average, South Africa, ZAF
105.4, 1955, Feb Average, South Africa, ZAF
50.5, 1955, Mar Average, South Africa, ZAF
42.2, 1955, Apr Average, South Africa, ZAF
16.5, 1955, May Average, South Africa, ZAF
21.6, 1955, Jun Average, South Africa, ZAF
13.0, 1955, Jul Average, South Africa, ZAF
12.9, 1955, Aug Average, South Africa, ZAF
9.4, 1955, Sep Average, South Africa, ZAF
44.7, 1955, Oct Average, South Africa, ZAF
74.2, 1955, Nov Average, South Africa, ZAF
72.5, 1955, Dec Average, South Africa, ZAF
38.5, 1956, Jan Average, South Africa, ZAF
101.7, 1956, Feb Average, South Africa, ZAF
96.4, 1956, Mar Average, South Africa, ZAF
15.8, 1956, Apr Average, South Africa, ZAF
31.8, 1956, May Average, South Africa, ZAF
10.7, 1956, Jun Average, South Africa, ZAF
9.1, 1956, Jul Average, South Africa, ZAF
8.2, 1956, Aug Average, South Africa, ZAF
27.8, 1956, Sep Average, South Africa, ZAF
48.8, 1956, Oct Average, South Africa, ZAF
55.7, 1956, Nov Average, South Africa, ZAF
85.9, 1956, Dec Average, South Africa, ZAF
57.5, 1957, Jan Average, South Africa, ZAF
67.6, 1957, Feb Average, South Africa, ZAF
65.5, 1957, Mar Average, South Africa, ZAF
28.9, 1957, Apr Average, South Africa, ZAF
19.3, 1957, May Average, South Africa, ZAF
26.4, 1957, Jun Average, South Africa, ZAF
19.1, 1957, Jul Average, South Africa, ZAF
27.7, 1957, Aug Average, South Africa, ZAF
60.1, 1957, Sep Average, South Africa, ZAF
59.2, 1957, Oct Average, South Africa, ZAF
37.1, 1957, Nov Average, South Africa, ZAF
58.9, 1957, Dec Average, South Africa, ZAF
105.9, 1958, Jan Average, South Africa, ZAF
44.2, 1958, Feb Average, South Africa, ZAF
39.3, 1958, Mar Average, South Africa, ZAF
38.0, 1958, Apr Average, South Africa, ZAF
33.0, 1958, May Average, South Africa, ZAF
6.7, 1958, Jun Average, South Africa, ZAF
2.4, 1958, Jul Average, South Africa, ZAF
9.3, 1958, Aug Average, South Africa, ZAF
28.4, 1958, Sep Average, South Africa, ZAF
28.7, 1958, Oct Average, South Africa, ZAF
57.7, 1958, Nov Average, South Africa, ZAF
87.4, 1958, Dec Average, South Africa, ZAF
65.4, 1959, Jan Average, South Africa, ZAF
61.8, 1959, Feb Average, South Africa, ZAF
37.2, 1959, Mar Average, South Africa, ZAF
43.1, 1959, Apr Average, South Africa, ZAF
47.5, 1959, May Average, South Africa, ZAF
3.9, 1959, Jun Average, South Africa, ZAF
21.0, 1959, Jul Average, South Africa, ZAF
13.5, 1959, Aug Average, South Africa, ZAF
11.9, 1959, Sep Average, South Africa, ZAF
38.1, 1959, Oct Average, South Africa, ZAF
47.8, 1959, Nov Average, South Africa, ZAF
72.0, 1959, Dec Average, South Africa, ZAF
44.9, 1960, Jan Average, South Africa, ZAF
56.9, 1960, Feb Average, South Africa, ZAF
58.1, 1960, Mar Average, South Africa, ZAF
43.8, 1960, Apr Average, South Africa, ZAF
17.6, 1960, May Average, South Africa, ZAF
10.3, 1960, Jun Average, South Africa, ZAF
7.7, 1960, Jul Average, South Africa, ZAF
20.5, 1960, Aug Average, South Africa, ZAF
16.4, 1960, Sep Average, South Africa, ZAF
34.5, 1960, Oct Average, South Africa, ZAF
65.4, 1960, Nov Average, South Africa, ZAF
84.1, 1960, Dec Average, South Africa, ZAF
54.5, 1961, Jan Average, South Africa, ZAF
48.6, 1961, Feb Average, South Africa, ZAF
91.2, 1961, Mar Average, South Africa, ZAF
69.4, 1961, Apr Average, South Africa, ZAF
30.7, 1961, May Average, South Africa, ZAF
29.0, 1961, Jun Average, South Africa, ZAF
20.1, 1961, Jul Average, South Africa, ZAF
14.8, 1961, Aug Average, South Africa, ZAF
21.4, 1961, Sep Average, South Africa, ZAF
19.7, 1961, Oct Average, South Africa, ZAF
67.6, 1961, Nov Average, South Africa, ZAF
47.7, 1961, Dec Average, South Africa, ZAF
48.8, 1962, Jan Average, South Africa, ZAF
68.8, 1962, Feb Average, South Africa, ZAF
54.6, 1962, Mar Average, South Africa, ZAF
38.4, 1962, Apr Average, South Africa, ZAF
6.1, 1962, May Average, South Africa, ZAF
16.5, 1962, Jun Average, South Africa, ZAF
5.6, 1962, Jul Average, South Africa, ZAF
25.1, 1962, Aug Average, South Africa, ZAF
8.9, 1962, Sep Average, South Africa, ZAF
31.3, 1962, Oct Average, South Africa, ZAF
84.9, 1962, Nov Average, South Africa, ZAF
45.1, 1962, Dec Average, South Africa, ZAF
106.0, 1963, Jan Average, South Africa, ZAF
33.3, 1963, Feb Average, South Africa, ZAF
77.9, 1963, Mar Average, South Africa, ZAF
53.2, 1963, Apr Average, South Africa, ZAF
16.1, 1963, May Average, South Africa, ZAF
25.5, 1963, Jun Average, South Africa, ZAF
27.0, 1963, Jul Average, South Africa, ZAF
12.8, 1963, Aug Average, South Africa, ZAF
5.4, 1963, Sep Average, South Africa, ZAF
46.7, 1963, Oct Average, South Africa, ZAF
71.8, 1963, Nov Average, South Africa, ZAF
48.9, 1963, Dec Average, South Africa, ZAF
61.5, 1964, Jan Average, South Africa, ZAF
41.4, 1964, Feb Average, South Africa, ZAF
45.6, 1964, Mar Average, South Africa, ZAF
25.8, 1964, Apr Average, South Africa, ZAF
5.9, 1964, May Average, South Africa, ZAF
30.9, 1964, Jun Average, South Africa, ZAF
4.3, 1964, Jul Average, South Africa, ZAF
13.3, 1964, Aug Average, South Africa, ZAF
23.1, 1964, Sep Average, South Africa, ZAF
70.9, 1964, Oct Average, South Africa, ZAF
39.0, 1964, Nov Average, South Africa, ZAF
63.8, 1964, Dec Average, South Africa, ZAF
51.5, 1965, Jan Average, South Africa, ZAF
28.3, 1965, Feb Average, South Africa, ZAF
33.6, 1965, Mar Average, South Africa, ZAF
46.6, 1965, Apr Average, South Africa, ZAF
12.6, 1965, May Average, South Africa, ZAF
16.1, 1965, Jun Average, South Africa, ZAF
17.5, 1965, Jul Average, South Africa, ZAF
12.8, 1965, Aug Average, South Africa, ZAF
15.4, 1965, Sep Average, South Africa, ZAF
34.3, 1965, Oct Average, South Africa, ZAF
56.2, 1965, Nov Average, South Africa, ZAF
30.6, 1965, Dec Average, South Africa, ZAF
85.7, 1966, Jan Average, South Africa, ZAF
66.0, 1966, Feb Average, South Africa, ZAF
16.6, 1966, Mar Average, South Africa, ZAF
17.6, 1966, Apr Average, South Africa, ZAF
13.5, 1966, May Average, South Africa, ZAF
12.6, 1966, Jun Average, South Africa, ZAF
5.8, 1966, Jul Average, South Africa, ZAF
12.8, 1966, Aug Average, South Africa, ZAF
20.4, 1966, Sep Average, South Africa, ZAF
31.5, 1966, Oct Average, South Africa, ZAF
38.1, 1966, Nov Average, South Africa, ZAF
63.2, 1966, Dec Average, South Africa, ZAF
97.1, 1967, Jan Average, South Africa, ZAF
84.8, 1967, Feb Average, South Africa, ZAF
70.6, 1967, Mar Average, South Africa, ZAF
90.0, 1967, Apr Average, South Africa, ZAF
37.7, 1967, May Average, South Africa, ZAF
17.4, 1967, Jun Average, South Africa, ZAF
11.2, 1967, Jul Average, South Africa, ZAF
11.1, 1967, Aug Average, South Africa, ZAF
8.2, 1967, Sep Average, South Africa, ZAF
34.5, 1967, Oct Average, South Africa, ZAF
51.9, 1967, Nov Average, South Africa, ZAF
33.9, 1967, Dec Average, South Africa, ZAF
30.8, 1968, Jan Average, South Africa, ZAF
26.5, 1968, Feb Average, South Africa, ZAF
80.2, 1968, Mar Average, South Africa, ZAF
42.0, 1968, Apr Average, South Africa, ZAF
30.1, 1968, May Average, South Africa, ZAF
13.9, 1968, Jun Average, South Africa, ZAF
7.5, 1968, Jul Average, South Africa, ZAF
15.5, 1968, Aug Average, South Africa, ZAF
16.9, 1968, Sep Average, South Africa, ZAF
29.6, 1968, Oct Average, South Africa, ZAF
43.4, 1968, Nov Average, South Africa, ZAF
51.1, 1968, Dec Average, South Africa, ZAF
33.2, 1969, Jan Average, South Africa, ZAF
63.7, 1969, Feb Average, South Africa, ZAF
84.3, 1969, Mar Average, South Africa, ZAF
46.7, 1969, Apr Average, South Africa, ZAF
26.9, 1969, May Average, South Africa, ZAF
7.2, 1969, Jun Average, South Africa, ZAF
6.2, 1969, Jul Average, South Africa, ZAF
7.4, 1969, Aug Average, South Africa, ZAF
18.6, 1969, Sep Average, South Africa, ZAF
65.0, 1969, Oct Average, South Africa, ZAF
35.8, 1969, Nov Average, South Africa, ZAF
51.7, 1969, Dec Average, South Africa, ZAF
36.8, 1970, Jan Average, South Africa, ZAF
49.0, 1970, Feb Average, South Africa, ZAF
18.5, 1970, Mar Average, South Africa, ZAF
16.7, 1970, Apr Average, South Africa, ZAF
19.8, 1970, May Average, South Africa, ZAF
22.4, 1970, Jun Average, South Africa, ZAF
13.2, 1970, Jul Average, South Africa, ZAF
35.6, 1970, Aug Average, South Africa, ZAF
21.3, 1970, Sep Average, South Africa, ZAF
43.2, 1970, Oct Average, South Africa, ZAF
39.2, 1970, Nov Average, South Africa, ZAF
76.4, 1970, Dec Average, South Africa, ZAF
80.8, 1971, Jan Average, South Africa, ZAF
56.6, 1971, Feb Average, South Africa, ZAF
51.2, 1971, Mar Average, South Africa, ZAF
50.9, 1971, Apr Average, South Africa, ZAF
31.3, 1971, May Average, South Africa, ZAF
8.7, 1971, Jun Average, South Africa, ZAF
27.6, 1971, Jul Average, South Africa, ZAF
25.4, 1971, Aug Average, South Africa, ZAF
11.7, 1971, Sep Average, South Africa, ZAF
48.2, 1971, Oct Average, South Africa, ZAF
51.5, 1971, Nov Average, South Africa, ZAF
55.7, 1971, Dec Average, South Africa, ZAF
113.5, 1972, Jan Average, South Africa, ZAF
75.0, 1972, Feb Average, South Africa, ZAF
87.8, 1972, Mar Average, South Africa, ZAF
26.8, 1972, Apr Average, South Africa, ZAF
18.3, 1972, May Average, South Africa, ZAF
10.6, 1972, Jun Average, South Africa, ZAF
5.3, 1972, Jul Average, South Africa, ZAF
7.8, 1972, Aug Average, South Africa, ZAF
10.2, 1972, Sep Average, South Africa, ZAF
29.0, 1972, Oct Average, South Africa, ZAF
45.1, 1972, Nov Average, South Africa, ZAF
27.1, 1972, Dec Average, South Africa, ZAF
37.3, 1973, Jan Average, South Africa, ZAF
75.8, 1973, Feb Average, South Africa, ZAF
57.7, 1973, Mar Average, South Africa, ZAF
49.3, 1973, Apr Average, South Africa, ZAF
8.7, 1973, May Average, South Africa, ZAF
3.1, 1973, Jun Average, South Africa, ZAF
15.4, 1973, Jul Average, South Africa, ZAF
23.1, 1973, Aug Average, South Africa, ZAF
41.3, 1973, Sep Average, South Africa, ZAF
34.8, 1973, Oct Average, South Africa, ZAF
53.8, 1973, Nov Average, South Africa, ZAF
86.1, 1973, Dec Average, South Africa, ZAF
136.8, 1974, Jan Average, South Africa, ZAF
107.8, 1974, Feb Average, South Africa, ZAF
93.3, 1974, Mar Average, South Africa, ZAF
45.6, 1974, Apr Average, South Africa, ZAF
29.6, 1974, May Average, South Africa, ZAF
16.1, 1974, Jun Average, South Africa, ZAF
8.8, 1974, Jul Average, South Africa, ZAF
40.6, 1974, Aug Average, South Africa, ZAF
13.3, 1974, Sep Average, South Africa, ZAF
22.4, 1974, Oct Average, South Africa, ZAF
80.1, 1974, Nov Average, South Africa, ZAF
57.6, 1974, Dec Average, South Africa, ZAF
85.8, 1975, Jan Average, South Africa, ZAF
85.3, 1975, Feb Average, South Africa, ZAF
72.5, 1975, Mar Average, South Africa, ZAF
40.1, 1975, Apr Average, South Africa, ZAF
21.4, 1975, May Average, South Africa, ZAF
15.4, 1975, Jun Average, South Africa, ZAF
12.9, 1975, Jul Average, South Africa, ZAF
10.9, 1975, Aug Average, South Africa, ZAF
33.1, 1975, Sep Average, South Africa, ZAF
19.0, 1975, Oct Average, South Africa, ZAF
61.4, 1975, Nov Average, South Africa, ZAF
116.9, 1975, Dec Average, South Africa, ZAF
123.6, 1976, Jan Average, South Africa, ZAF
113.7, 1976, Feb Average, South Africa, ZAF
121.2, 1976, Mar Average, South Africa, ZAF
45.5, 1976, Apr Average, South Africa, ZAF
31.9, 1976, May Average, South Africa, ZAF
16.5, 1976, Jun Average, South Africa, ZAF
13.0, 1976, Jul Average, South Africa, ZAF
5.8, 1976, Aug Average, South Africa, ZAF
24.8, 1976, Sep Average, South Africa, ZAF
72.2, 1976, Oct Average, South Africa, ZAF
52.4, 1976, Nov Average, South Africa, ZAF
53.3, 1976, Dec Average, South Africa, ZAF
72.0, 1977, Jan Average, South Africa, ZAF
92.4, 1977, Feb Average, South Africa, ZAF
77.2, 1977, Mar Average, South Africa, ZAF
40.2, 1977, Apr Average, South Africa, ZAF
31.1, 1977, May Average, South Africa, ZAF
11.3, 1977, Jun Average, South Africa, ZAF
8.2, 1977, Jul Average, South Africa, ZAF
15.2, 1977, Aug Average, South Africa, ZAF
46.7, 1977, Sep Average, South Africa, ZAF
35.7, 1977, Oct Average, South Africa, ZAF
53.1, 1977, Nov Average, South Africa, ZAF
72.2, 1977, Dec Average, South Africa, ZAF
98.4, 1978, Jan Average, South Africa, ZAF
63.8, 1978, Feb Average, South Africa, ZAF
72.5, 1978, Mar Average, South Africa, ZAF
51.0, 1978, Apr Average, South Africa, ZAF
6.4, 1978, May Average, South Africa, ZAF
6.5, 1978, Jun Average, South Africa, ZAF
5.0, 1978, Jul Average, South Africa, ZAF
17.7, 1978, Aug Average, South Africa, ZAF
26.4, 1978, Sep Average, South Africa, ZAF
44.4, 1978, Oct Average, South Africa, ZAF
40.6, 1978, Nov Average, South Africa, ZAF
60.2, 1978, Dec Average, South Africa, ZAF
52.7, 1979, Jan Average, South Africa, ZAF
54.6, 1979, Feb Average, South Africa, ZAF
32.2, 1979, Mar Average, South Africa, ZAF
23.2, 1979, Apr Average, South Africa, ZAF
24.5, 1979, May Average, South Africa, ZAF
9.7, 1979, Jun Average, South Africa, ZAF
28.2, 1979, Jul Average, South Africa, ZAF
38.4, 1979, Aug Average, South Africa, ZAF
17.5, 1979, Sep Average, South Africa, ZAF
46.0, 1979, Oct Average, South Africa, ZAF
49.9, 1979, Nov Average, South Africa, ZAF
40.9, 1979, Dec Average, South Africa, ZAF
61.3, 1980, Jan Average, South Africa, ZAF
76.6, 1980, Feb Average, South Africa, ZAF
43.8, 1980, Mar Average, South Africa, ZAF
16.0, 1980, Apr Average, South Africa, ZAF
8.4, 1980, May Average, South Africa, ZAF
9.1, 1980, Jun Average, South Africa, ZAF
3.7, 1980, Jul Average, South Africa, ZAF
18.8, 1980, Aug Average, South Africa, ZAF
45.6, 1980, Sep Average, South Africa, ZAF
17.6, 1980, Oct Average, South Africa, ZAF
87.4, 1980, Nov Average, South Africa, ZAF
