Rainfall - (MM), Year, Statistics, Country, ISO3
52.4, 1980, Dec Average, South Africa, ZAF
102.4, 1981, Jan Average, South Africa, ZAF
83.2, 1981, Feb Average, South Africa, ZAF
65.6, 1981, Mar Average, South Africa, ZAF
20.6, 1981, Apr Average, South Africa, ZAF
26.8, 1981, May Average, South Africa, ZAF
12.9, 1981, Jun Average, South Africa, ZAF
9.4, 1981, Jul Average, South Africa, ZAF
49.3, 1981, Aug Average, South Africa, ZAF
20.2, 1981, Sep Average, South Africa, ZAF
39.1, 1981, Oct Average, South Africa, ZAF
50.8, 1981, Nov Average, South Africa, ZAF
57.6, 1981, Dec Average, South Africa, ZAF
50.5, 1982, Jan Average, South Africa, ZAF
35.2, 1982, Feb Average, South Africa, ZAF
46.6, 1982, Mar Average, South Africa, ZAF
61.2, 1982, Apr Average, South Africa, ZAF
5.9, 1982, May Average, South Africa, ZAF
16.4, 1982, Jun Average, South Africa, ZAF
21.0, 1982, Jul Average, South Africa, ZAF
5.8, 1982, Aug Average, South Africa, ZAF
15.8, 1982, Sep Average, South Africa, ZAF
60.2, 1982, Oct Average, South Africa, ZAF
35.6, 1982, Nov Average, South Africa, ZAF
36.9, 1982, Dec Average, South Africa, ZAF
39.3, 1983, Jan Average, South Africa, ZAF
25.3, 1983, Feb Average, South Africa, ZAF
38.6, 1983, Mar Average, South Africa, ZAF
21.1, 1983, Apr Average, South Africa, ZAF
27.1, 1983, May Average, South Africa, ZAF
21.8, 1983, Jun Average, South Africa, ZAF
30.0, 1983, Jul Average, South Africa, ZAF
10.0, 1983, Aug Average, South Africa, ZAF
19.4, 1983, Sep Average, South Africa, ZAF
40.7, 1983, Oct Average, South Africa, ZAF
81.4, 1983, Nov Average, South Africa, ZAF
67.6, 1983, Dec Average, South Africa, ZAF
60.9, 1984, Jan Average, South Africa, ZAF
27.3, 1984, Feb Average, South Africa, ZAF
64.8, 1984, Mar Average, South Africa, ZAF
26.4, 1984, Apr Average, South Africa, ZAF
21.3, 1984, May Average, South Africa, ZAF
13.7, 1984, Jun Average, South Africa, ZAF
16.7, 1984, Jul Average, South Africa, ZAF
17.5, 1984, Aug Average, South Africa, ZAF
15.3, 1984, Sep Average, South Africa, ZAF
57.9, 1984, Oct Average, South Africa, ZAF
46.9, 1984, Nov Average, South Africa, ZAF
32.2, 1984, Dec Average, South Africa, ZAF
71.3, 1985, Jan Average, South Africa, ZAF
96.0, 1985, Feb Average, South Africa, ZAF
42.4, 1985, Mar Average, South Africa, ZAF
14.6, 1985, Apr Average, South Africa, ZAF
12.0, 1985, May Average, South Africa, ZAF
12.4, 1985, Jun Average, South Africa, ZAF
9.6, 1985, Jul Average, South Africa, ZAF
5.4, 1985, Aug Average, South Africa, ZAF
18.0, 1985, Sep Average, South Africa, ZAF
75.0, 1985, Oct Average, South Africa, ZAF
55.1, 1985, Nov Average, South Africa, ZAF
92.7, 1985, Dec Average, South Africa, ZAF
62.5, 1986, Jan Average, South Africa, ZAF
40.8, 1986, Feb Average, South Africa, ZAF
45.0, 1986, Mar Average, South Africa, ZAF
35.4, 1986, Apr Average, South Africa, ZAF
2.9, 1986, May Average, South Africa, ZAF
22.9, 1986, Jun Average, South Africa, ZAF
7.2, 1986, Jul Average, South Africa, ZAF
25.3, 1986, Aug Average, South Africa, ZAF
17.9, 1986, Sep Average, South Africa, ZAF
63.0, 1986, Oct Average, South Africa, ZAF
57.6, 1986, Nov Average, South Africa, ZAF
48.3, 1986, Dec Average, South Africa, ZAF
39.9, 1987, Jan Average, South Africa, ZAF
53.6, 1987, Feb Average, South Africa, ZAF
52.0, 1987, Mar Average, South Africa, ZAF
28.7, 1987, Apr Average, South Africa, ZAF
9.7, 1987, May Average, South Africa, ZAF
13.4, 1987, Jun Average, South Africa, ZAF
12.4, 1987, Jul Average, South Africa, ZAF
24.6, 1987, Aug Average, South Africa, ZAF
85.5, 1987, Sep Average, South Africa, ZAF
29.7, 1987, Oct Average, South Africa, ZAF
61.8, 1987, Nov Average, South Africa, ZAF
60.6, 1987, Dec Average, South Africa, ZAF
39.9, 1988, Jan Average, South Africa, ZAF
125.3, 1988, Feb Average, South Africa, ZAF
87.5, 1988, Mar Average, South Africa, ZAF
54.9, 1988, Apr Average, South Africa, ZAF
14.2, 1988, May Average, South Africa, ZAF
17.8, 1988, Jun Average, South Africa, ZAF
9.8, 1988, Jul Average, South Africa, ZAF
12.7, 1988, Aug Average, South Africa, ZAF
38.9, 1988, Sep Average, South Africa, ZAF
58.4, 1988, Oct Average, South Africa, ZAF
42.7, 1988, Nov Average, South Africa, ZAF
90.3, 1988, Dec Average, South Africa, ZAF
61.3, 1989, Jan Average, South Africa, ZAF
110.8, 1989, Feb Average, South Africa, ZAF
40.6, 1989, Mar Average, South Africa, ZAF
55.7, 1989, Apr Average, South Africa, ZAF
14.5, 1989, May Average, South Africa, ZAF
19.2, 1989, Jun Average, South Africa, ZAF
10.7, 1989, Jul Average, South Africa, ZAF
9.2, 1989, Aug Average, South Africa, ZAF
12.6, 1989, Sep Average, South Africa, ZAF
39.5, 1989, Oct Average, South Africa, ZAF
89.4, 1989, Nov Average, South Africa, ZAF
49.9, 1989, Dec Average, South Africa, ZAF
48.9, 1990, Jan Average, South Africa, ZAF
58.7, 1990, Feb Average, South Africa, ZAF
63.5, 1990, Mar Average, South Africa, ZAF
57.9, 1990, Apr Average, South Africa, ZAF
10.2, 1990, May Average, South Africa, ZAF
17.7, 1990, Jun Average, South Africa, ZAF
8.5, 1990, Jul Average, South Africa, ZAF
11.8, 1990, Aug Average, South Africa, ZAF
7.0, 1990, Sep Average, South Africa, ZAF
25.1, 1990, Oct Average, South Africa, ZAF
22.1, 1990, Nov Average, South Africa, ZAF
57.4, 1990, Dec Average, South Africa, ZAF
116.1, 1991, Jan Average, South Africa, ZAF
62.7, 1991, Feb Average, South Africa, ZAF
80.1, 1991, Mar Average, South Africa, ZAF
5.6, 1991, Apr Average, South Africa, ZAF
9.5, 1991, May Average, South Africa, ZAF
23.2, 1991, Jun Average, South Africa, ZAF
11.7, 1991, Jul Average, South Africa, ZAF
4.9, 1991, Aug Average, South Africa, ZAF
27.7, 1991, Sep Average, South Africa, ZAF
71.7, 1991, Oct Average, South Africa, ZAF
36.9, 1991, Nov Average, South Africa, ZAF
56.6, 1991, Dec Average, South Africa, ZAF
29.0, 1992, Jan Average, South Africa, ZAF
38.1, 1992, Feb Average, South Africa, ZAF
37.3, 1992, Mar Average, South Africa, ZAF
15.3, 1992, Apr Average, South Africa, ZAF
4.9, 1992, May Average, South Africa, ZAF
12.6, 1992, Jun Average, South Africa, ZAF
9.9, 1992, Jul Average, South Africa, ZAF
22.2, 1992, Aug Average, South Africa, ZAF
7.7, 1992, Sep Average, South Africa, ZAF
37.2, 1992, Oct Average, South Africa, ZAF
53.0, 1992, Nov Average, South Africa, ZAF
47.0, 1992, Dec Average, South Africa, ZAF
42.9, 1993, Jan Average, South Africa, ZAF
62.7, 1993, Feb Average, South Africa, ZAF
42.6, 1993, Mar Average, South Africa, ZAF
37.5, 1993, Apr Average, South Africa, ZAF
14.2, 1993, May Average, South Africa, ZAF
12.0, 1993, Jun Average, South Africa, ZAF
10.9, 1993, Jul Average, South Africa, ZAF
12.9, 1993, Aug Average, South Africa, ZAF
20.5, 1993, Sep Average, South Africa, ZAF
63.8, 1993, Oct Average, South Africa, ZAF
53.2, 1993, Nov Average, South Africa, ZAF
76.8, 1993, Dec Average, South Africa, ZAF
77.8, 1994, Jan Average, South Africa, ZAF
74.1, 1994, Feb Average, South Africa, ZAF
58.3, 1994, Mar Average, South Africa, ZAF
19.0, 1994, Apr Average, South Africa, ZAF
4.3, 1994, May Average, South Africa, ZAF
15.2, 1994, Jun Average, South Africa, ZAF
13.7, 1994, Jul Average, South Africa, ZAF
10.2, 1994, Aug Average, South Africa, ZAF
7.2, 1994, Sep Average, South Africa, ZAF
29.4, 1994, Oct Average, South Africa, ZAF
28.2, 1994, Nov Average, South Africa, ZAF
52.3, 1994, Dec Average, South Africa, ZAF
64.3, 1995, Jan Average, South Africa, ZAF
35.5, 1995, Feb Average, South Africa, ZAF
80.1, 1995, Mar Average, South Africa, ZAF
28.2, 1995, Apr Average, South Africa, ZAF
25.4, 1995, May Average, South Africa, ZAF
9.6, 1995, Jun Average, South Africa, ZAF
7.3, 1995, Jul Average, South Africa, ZAF
13.4, 1995, Aug Average, South Africa, ZAF
14.3, 1995, Sep Average, South Africa, ZAF
44.1, 1995, Oct Average, South Africa, ZAF
73.1, 1995, Nov Average, South Africa, ZAF
106.1, 1995, Dec Average, South Africa, ZAF
93.3, 1996, Jan Average, South Africa, ZAF
100.9, 1996, Feb Average, South Africa, ZAF
42.0, 1996, Mar Average, South Africa, ZAF
32.3, 1996, Apr Average, South Africa, ZAF
19.2, 1996, May Average, South Africa, ZAF
6.4, 1996, Jun Average, South Africa, ZAF
26.5, 1996, Jul Average, South Africa, ZAF
17.2, 1996, Aug Average, South Africa, ZAF
15.1, 1996, Sep Average, South Africa, ZAF
50.3, 1996, Oct Average, South Africa, ZAF
93.3, 1996, Nov Average, South Africa, ZAF
70.9, 1996, Dec Average, South Africa, ZAF
71.9, 1997, Jan Average, South Africa, ZAF
39.8, 1997, Feb Average, South Africa, ZAF
102.9, 1997, Mar Average, South Africa, ZAF
38.4, 1997, Apr Average, South Africa, ZAF
35.9, 1997, May Average, South Africa, ZAF
26.6, 1997, Jun Average, South Africa, ZAF
12.4, 1997, Jul Average, South Africa, ZAF
12.3, 1997, Aug Average, South Africa, ZAF
19.4, 1997, Sep Average, South Africa, ZAF
34.2, 1997, Oct Average, South Africa, ZAF
55.1, 1997, Nov Average, South Africa, ZAF
37.3, 1997, Dec Average, South Africa, ZAF
81.5, 1998, Jan Average, South Africa, ZAF
69.1, 1998, Feb Average, South Africa, ZAF
64.2, 1998, Mar Average, South Africa, ZAF
17.0, 1998, Apr Average, South Africa, ZAF
16.0, 1998, May Average, South Africa, ZAF
3.2, 1998, Jun Average, South Africa, ZAF
8.6, 1998, Jul Average, South Africa, ZAF
12.8, 1998, Aug Average, South Africa, ZAF
22.1, 1998, Sep Average, South Africa, ZAF
41.0, 1998, Oct Average, South Africa, ZAF
81.3, 1998, Nov Average, South Africa, ZAF
78.8, 1998, Dec Average, South Africa, ZAF
58.4, 1999, Jan Average, South Africa, ZAF
44.4, 1999, Feb Average, South Africa, ZAF
38.3, 1999, Mar Average, South Africa, ZAF
26.1, 1999, Apr Average, South Africa, ZAF
26.7, 1999, May Average, South Africa, ZAF
6.3, 1999, Jun Average, South Africa, ZAF
11.4, 1999, Jul Average, South Africa, ZAF
11.9, 1999, Aug Average, South Africa, ZAF
17.8, 1999, Sep Average, South Africa, ZAF
43.9, 1999, Oct Average, South Africa, ZAF
40.9, 1999, Nov Average, South Africa, ZAF
109.6, 1999, Dec Average, South Africa, ZAF
104.3, 2000, Jan Average, South Africa, ZAF
114.0, 2000, Feb Average, South Africa, ZAF
108.0, 2000, Mar Average, South Africa, ZAF
40.8, 2000, Apr Average, South Africa, ZAF
18.0, 2000, May Average, South Africa, ZAF
9.4, 2000, Jun Average, South Africa, ZAF
10.0, 2000, Jul Average, South Africa, ZAF
5.6, 2000, Aug Average, South Africa, ZAF
35.9, 2000, Sep Average, South Africa, ZAF
42.4, 2000, Oct Average, South Africa, ZAF
72.5, 2000, Nov Average, South Africa, ZAF
64.2, 2000, Dec Average, South Africa, ZAF
38.6, 2001, Jan Average, South Africa, ZAF
57.1, 2001, Feb Average, South Africa, ZAF
54.9, 2001, Mar Average, South Africa, ZAF
51.9, 2001, Apr Average, South Africa, ZAF
20.2, 2001, May Average, South Africa, ZAF
8.3, 2001, Jun Average, South Africa, ZAF
19.1, 2001, Jul Average, South Africa, ZAF
20.6, 2001, Aug Average, South Africa, ZAF
42.6, 2001, Sep Average, South Africa, ZAF
46.3, 2001, Oct Average, South Africa, ZAF
97.1, 2001, Nov Average, South Africa, ZAF
79.9, 2001, Dec Average, South Africa, ZAF
65.0, 2002, Jan Average, South Africa, ZAF
51.0, 2002, Feb Average, South Africa, ZAF
32.1, 2002, Mar Average, South Africa, ZAF
30.0, 2002, Apr Average, South Africa, ZAF
29.4, 2002, May Average, South Africa, ZAF
15.2, 2002, Jun Average, South Africa, ZAF
16.4, 2002, Jul Average, South Africa, ZAF
32.8, 2002, Aug Average, South Africa, ZAF
22.6, 2002, Sep Average, South Africa, ZAF
23.1, 2002, Oct Average, South Africa, ZAF
28.9, 2002, Nov Average, South Africa, ZAF
66.2, 2002, Dec Average, South Africa, ZAF
50.2, 2003, Jan Average, South Africa, ZAF
48.1, 2003, Feb Average, South Africa, ZAF
68.6, 2003, Mar Average, South Africa, ZAF
21.6, 2003, Apr Average, South Africa, ZAF
16.0, 2003, May Average, South Africa, ZAF
11.8, 2003, Jun Average, South Africa, ZAF
3.8, 2003, Jul Average, South Africa, ZAF
16.8, 2003, Aug Average, South Africa, ZAF
22.4, 2003, Sep Average, South Africa, ZAF
37.4, 2003, Oct Average, South Africa, ZAF
37.1, 2003, Nov Average, South Africa, ZAF
37.7, 2003, Dec Average, South Africa, ZAF
92.5, 2004, Jan Average, South Africa, ZAF
76.3, 2004, Feb Average, South Africa, ZAF
60.2, 2004, Mar Average, South Africa, ZAF
37.4, 2004, Apr Average, South Africa, ZAF
7.5, 2004, May Average, South Africa, ZAF
9.4, 2004, Jun Average, South Africa, ZAF
11.8, 2004, Jul Average, South Africa, ZAF
11.1, 2004, Aug Average, South Africa, ZAF
27.1, 2004, Sep Average, South Africa, ZAF
30.1, 2004, Oct Average, South Africa, ZAF
28.7, 2004, Nov Average, South Africa, ZAF
77.2, 2004, Dec Average, South Africa, ZAF
75.5, 2005, Jan Average, South Africa, ZAF
59.3, 2005, Feb Average, South Africa, ZAF
48.8, 2005, Mar Average, South Africa, ZAF
47.2, 2005, Apr Average, South Africa, ZAF
16.6, 2005, May Average, South Africa, ZAF
10.0, 2005, Jun Average, South Africa, ZAF
2.9, 2005, Jul Average, South Africa, ZAF
8.5, 2005, Aug Average, South Africa, ZAF
7.1, 2005, Sep Average, South Africa, ZAF
21.5, 2005, Oct Average, South Africa, ZAF
54.0, 2005, Nov Average, South Africa, ZAF
43.2, 2005, Dec Average, South Africa, ZAF
88.1, 2006, Jan Average, South Africa, ZAF
109.5, 2006, Feb Average, South Africa, ZAF
57.1, 2006, Mar Average, South Africa, ZAF
44.1, 2006, Apr Average, South Africa, ZAF
30.7, 2006, May Average, South Africa, ZAF
7.8, 2006, Jun Average, South Africa, ZAF
8.4, 2006, Jul Average, South Africa, ZAF
39.0, 2006, Aug Average, South Africa, ZAF
12.2, 2006, Sep Average, South Africa, ZAF
37.7, 2006, Oct Average, South Africa, ZAF
56.6, 2006, Nov Average, South Africa, ZAF
74.6, 2006, Dec Average, South Africa, ZAF
35.8, 2007, Jan Average, South Africa, ZAF
27.5, 2007, Feb Average, South Africa, ZAF
55.0, 2007, Mar Average, South Africa, ZAF
40.0, 2007, Apr Average, South Africa, ZAF
13.0, 2007, May Average, South Africa, ZAF
21.0, 2007, Jun Average, South Africa, ZAF
10.7, 2007, Jul Average, South Africa, ZAF
8.4, 2007, Aug Average, South Africa, ZAF
27.5, 2007, Sep Average, South Africa, ZAF
57.9, 2007, Oct Average, South Africa, ZAF
63.6, 2007, Nov Average, South Africa, ZAF
63.9, 2007, Dec Average, South Africa, ZAF
80.8, 2008, Jan Average, South Africa, ZAF
47.3, 2008, Feb Average, South Africa, ZAF
53.3, 2008, Mar Average, South Africa, ZAF
22.5, 2008, Apr Average, South Africa, ZAF
24.1, 2008, May Average, South Africa, ZAF
20.1, 2008, Jun Average, South Africa, ZAF
12.4, 2008, Jul Average, South Africa, ZAF
10.7, 2008, Aug Average, South Africa, ZAF
13.5, 2008, Sep Average, South Africa, ZAF
25.0, 2008, Oct Average, South Africa, ZAF
70.3, 2008, Nov Average, South Africa, ZAF
57.2, 2008, Dec Average, South Africa, ZAF
75.5, 2009, Jan Average, South Africa, ZAF
91.2, 2009, Feb Average, South Africa, ZAF
32.9, 2009, Mar Average, South Africa, ZAF
19.4, 2009, Apr Average, South Africa, ZAF
15.1, 2009, May Average, South Africa, ZAF
25.8, 2009, Jun Average, South Africa, ZAF
11.5, 2009, Jul Average, South Africa, ZAF
12.7, 2009, Aug Average, South Africa, ZAF
18.7, 2009, Sep Average, South Africa, ZAF
48.2, 2009, Oct Average, South Africa, ZAF
69.2, 2009, Nov Average, South Africa, ZAF
51.3, 2009, Dec Average, South Africa, ZAF
96.6, 2010, Jan Average, South Africa, ZAF
66.5, 2010, Feb Average, South Africa, ZAF
46.2, 2010, Mar Average, South Africa, ZAF
35.5, 2010, Apr Average, South Africa, ZAF
19.4, 2010, May Average, South Africa, ZAF
11.4, 2010, Jun Average, South Africa, ZAF
8.9, 2010, Jul Average, South Africa, ZAF
7.3, 2010, Aug Average, South Africa, ZAF
9.3, 2010, Sep Average, South Africa, ZAF
31.3, 2010, Oct Average, South Africa, ZAF
55.5, 2010, Nov Average, South Africa, ZAF
85.6, 2010, Dec Average, South Africa, ZAF
96.1, 2011, Jan Average, South Africa, ZAF
70.4, 2011, Feb Average, South Africa, ZAF
67.9, 2011, Mar Average, South Africa, ZAF
55.8, 2011, Apr Average, South Africa, ZAF
39.5, 2011, May Average, South Africa, ZAF
31.7, 2011, Jun Average, South Africa, ZAF
16.5, 2011, Jul Average, South Africa, ZAF
17.4, 2011, Aug Average, South Africa, ZAF
8.2, 2011, Sep Average, South Africa, ZAF
30.1, 2011, Oct Average, South Africa, ZAF
49.0, 2011, Nov Average, South Africa, ZAF
57.8, 2011, Dec Average, South Africa, ZAF
47.6, 2012, Jan Average, South Africa, ZAF
63.0, 2012, Feb Average, South Africa, ZAF
55.9, 2012, Mar Average, South Africa, ZAF
26.2, 2012, Apr Average, South Africa, ZAF
5.2, 2012, May Average, South Africa, ZAF
24.3, 2012, Jun Average, South Africa, ZAF
19.0, 2012, Jul Average, South Africa, ZAF
13.3, 2012, Aug Average, South Africa, ZAF
26.9, 2012, Sep Average, South Africa, ZAF
61.6, 2012, Oct Average, South Africa, ZAF
37.9, 2012, Nov Average, South Africa, ZAF
81.1, 2012, Dec Average, South Africa, ZAF
60.6, 2013, Jan Average, South Africa, ZAF
40.8, 2013, Feb Average, South Africa, ZAF
55.4, 2013, Mar Average, South Africa, ZAF
33.7, 2013, Apr Average, South Africa, ZAF
8.5, 2013, May Average, South Africa, ZAF
11.9, 2013, Jun Average, South Africa, ZAF
8.1, 2013, Jul Average, South Africa, ZAF
14.9, 2013, Aug Average, South Africa, ZAF
9.9, 2013, Sep Average, South Africa, ZAF
36.6, 2013, Oct Average, South Africa, ZAF
53.3, 2013, Nov Average, South Africa, ZAF
86.1, 2013, Dec Average, South Africa, ZAF
59.3, 2014, Jan Average, South Africa, ZAF
79.1, 2014, Feb Average, South Africa, ZAF
34.9, 2014, Mar Average, South Africa, ZAF
37.5, 2014, Apr Average, South Africa, ZAF
16.3, 2014, May Average, South Africa, ZAF
10.2, 2014, Jun Average, South Africa, ZAF
9.0, 2014, Jul Average, South Africa, ZAF
17.1, 2014, Aug Average, South Africa, ZAF
15.4, 2014, Sep Average, South Africa, ZAF
24.4, 2014, Oct Average, South Africa, ZAF
68.7, 2014, Nov Average, South Africa, ZAF
77.2, 2014, Dec Average, South Africa, ZAF
42.9, 2015, Jan Average, South Africa, ZAF
41.9, 2015, Feb Average, South Africa, ZAF
58.9, 2015, Mar Average, South Africa, ZAF
37.3, 2015, Apr Average, South Africa, ZAF
7.0, 2015, May Average, South Africa, ZAF
26.5, 2015, Jun Average, South Africa, ZAF
18.9, 2015, Jul Average, South Africa, ZAF
12.3, 2015, Aug Average, South Africa, ZAF
24.3, 2015, Sep Average, South Africa, ZAF
26.4, 2015, Oct Average, South Africa, ZAF
41.9, 2015, Nov Average, South Africa, ZAF
29.4, 2015, Dec Average, South Africa, ZAF
74.3, 2016, Jan Average, South Africa, ZAF
42.7, 2016, Feb Average, South Africa, ZAF
60.2, 2016, Mar Average, South Africa, ZAF
26.4, 2016, Apr Average, South Africa, ZAF
23.7, 2016, May Average, South Africa, ZAF
9.7, 2016, Jun Average, South Africa, ZAF
17.7, 2016, Jul Average, South Africa, ZAF
9.6, 2016, Aug Average, South Africa, ZAF
16.0, 2016, Sep Average, South Africa, ZAF
28.3, 2016, Oct Average, South Africa, ZAF
51.0, 2016, Nov Average, South Africa, ZAF
63.4, 2016, Dec Average, South Africa, ZAF
82.9, 2017, Jan Average, South Africa, ZAF
85.2, 2017, Feb Average, South Africa, ZAF
30.1, 2017, Mar Average, South Africa, ZAF
32.2, 2017, Apr Average, South Africa, ZAF
11.8, 2017, May Average, South Africa, ZAF
8.1, 2017, Jun Average, South Africa, ZAF
5.1, 2017, Jul Average, South Africa, ZAF
10.5, 2017, Aug Average, South Africa, ZAF
12.9, 2017, Sep Average, South Africa, ZAF
41.4, 2017, Oct Average, South Africa, ZAF
48.1, 2017, Nov Average, South Africa, ZAF
55.6, 2017, Dec Average, South Africa, ZAF
50.2, 2018, Jan Average, South Africa, ZAF
78.2, 2018, Feb Average, South Africa, ZAF
59.5, 2018, Mar Average, South Africa, ZAF
35.7, 2018, Apr Average, South Africa, ZAF
17.3, 2018, May Average, South Africa, ZAF
5.9, 2018, Jun Average, South Africa, ZAF
8.3, 2018, Jul Average, South Africa, ZAF
13.6, 2018, Aug Average, South Africa, ZAF
17.9, 2018, Sep Average, South Africa, ZAF
27.2, 2018, Oct Average, South Africa, ZAF
25.7, 2018, Nov Average, South Africa, ZAF
43.5, 2018, Dec Average, South Africa, ZAF
51.8, 2019, Jan Average, South Africa, ZAF
64.9, 2019, Feb Average, South Africa, ZAF
46.5, 2019, Mar Average, South Africa, ZAF
49.4, 2019, Apr Average, South Africa, ZAF
10.9, 2019, May Average, South Africa, ZAF
7.1, 2019, Jun Average, South Africa, ZAF
9.4, 2019, Jul Average, South Africa, ZAF
5.5, 2019, Aug Average, South Africa, ZAF
10.6, 2019, Sep Average, South Africa, ZAF
17.0, 2019, Oct Average, South Africa, ZAF
44.4, 2019, Nov Average, South Africa, ZAF
64.4, 2019, Dec Average, South Africa, ZAF
69.5, 2020, Jan Average, South Africa, ZAF
80.5, 2020, Feb Average, South Africa, ZAF
55.5, 2020, Mar Average, South Africa, ZAF
32.1, 2020, Apr Average, South Africa, ZAF
7.7, 2020, May Average, South Africa, ZAF
10.5, 2020, Jun Average, South Africa, ZAF
9.3, 2020, Jul Average, South Africa, ZAF
11.7, 2020, Aug Average, South Africa, ZAF
18.7, 2020, Sep Average, South Africa, ZAF
36.3, 2020, Oct Average, South Africa, ZAF
62.3, 2020, Nov Average, South Africa, ZAF
66.6, 2020, Dec Average, South Africa, ZAF
